"Start Date","Max Air Temp. (°C)","Min Air Temp. (°C)","Mean Air Temp. (°C)","Rainfall (mm)","Evapo-transpiration (mm/d)"
"Wed, Jun 1, 2022","21.7","13.1","17.4","0.0","1.3"
"Thu, Jun 2, 2022","19.9","5.4","12.7","6.3","0.3"
"Fri, Jun 3, 2022","19.3","8.6","13.9","4.7","0.6"
"Sat, Jun 4, 2022","15.6","0.3","7.9","0.0","0.6"
"Sun, Jun 5, 2022","13.1","2.1","7.6","0.4","0.4"
"Mon, Jun 6, 2022","15.9","3.9","9.9","0.0","0.5"
"Tue, Jun 7, 2022","17.5","8.0","12.8","0.1","0.5"
"Wed, Jun 8, 2022","20.7","8.3","14.5","0.1","0.8"
"Thu, Jun 9, 2022","18.9","7.0","12.9","0.1","0.7"
"Fri, Jun 10, 2022","19.0","7.8","13.4","0.0","1.5"
"Sat, Jun 11, 2022","19.6","3.6","11.6","0.0","1.0"
"Sun, Jun 12, 2022","17.8","7.7","12.7","10.8","0.9"
"Mon, Jun 13, 2022","14.4","8.3","11.3","0.8","0.9"
"Tue, Jun 14, 2022","17.2","13.3","15.2","0.0","1.8"
"Wed, Jun 15, 2022","17.5","10.9","14.2","0.0","1.5"
"Thu, Jun 16, 2022","17.9","11.0","14.4","0.0","1.0"
"Fri, Jun 17, 2022","16.2","7.8","12.0","5.9","0.2"
"Sat, Jun 18, 2022","17.3","7.9","12.6","20.1","0.3"
"Sun, Jun 19, 2022","11.8","5.6","8.7","1.7","0.4"
"Mon, Jun 20, 2022","11.0","5.0","8.0","4.7","0.5"
"Tue, Jun 21, 2022","11.9","6.6","9.2","0.2","0.4"
"Wed, Jun 22, 2022","12.6","7.6","10.1","0.0","0.5"
"Thu, Jun 23, 2022","14.8","-1.8","6.5","0.0","0.4"
"Fri, Jun 24, 2022","12.9","0.9","6.9","0.1","0.2"
"Sat, Jun 25, 2022","16.9","2.2","9.5","0.0","0.3"
"Sun, Jun 26, 2022","18.5","-0.5","9.0","0.0","0.4"
"Mon, Jun 27, 2022","16.6","1.1","8.8","0.0","0.5"
"Tue, Jun 28, 2022","13.7","-0.6","6.5","0.0","0.2"
"Wed, Jun 29, 2022","11.0","1.8","6.4","0.1","0.4"
"Thu, Jun 30, 2022","16.8","6.8","11.8","0.3","0.7"
"Fri, Jul 1, 2022","11.6","0.0","5.8","0.5","0.3"
"Sat, Jul 2, 2022","15.9","1.2","8.6","0.0","0.5"
"Sun, Jul 3, 2022","16.9","-0.5","8.2","0.0","0.3"
"Mon, Jul 4, 2022","16.1","2.0","9.1","0.0","0.4"
"Tue, Jul 5, 2022","15.2","7.5","11.3","0.2","0.3"
"Wed, Jul 6, 2022","14.9","-1.5","6.7","0.0","0.7"
"Thu, Jul 7, 2022","12.8","1.3","7.0","5.9","0.4"
"Fri, Jul 8, 2022","15.5","6.5","11.0","2.6","0.0"
"Sat, Jul 9, 2022","19.5","7.7","13.6","4.5","1.5"
"Sun, Jul 10, 2022","10.3","7.5","8.9","1.1","0.1"
"Mon, Jul 11, 2022","12.9","8.8","10.9","38.1","0.3"
"Tue, Jul 12, 2022","14.1","7.0","10.5","12.7","0.1"
"Wed, Jul 13, 2022","20.1","5.8","12.9","0.0","1.7"
"Thu, Jul 14, 2022","16.3","8.6","12.4","28.9","0.6"
"Fri, Jul 15, 2022","13.7","1.3","7.5","0.0","0.6"
"Sat, Jul 16, 2022","13.5","-0.3","6.6","0.0","0.7"
"Sun, Jul 17, 2022","13.9","1.0","7.4","0.1","0.5"
"Mon, Jul 18, 2022","14.8","9.8","12.3","0.0","1.1"
"Tue, Jul 19, 2022","16.9","10.4","13.6","6.3","0.9"
"Wed, Jul 20, 2022","14.4","7.7","11.0","4.4","0.3"
"Thu, Jul 21, 2022","14.1","8.3","11.2","0.1","1.3"
"Fri, Jul 22, 2022","12.6","2.3","7.4","0.0","0.8"
"Sat, Jul 23, 2022","11.9","5.3","8.6","1.0","0.4"
"Sun, Jul 24, 2022","11.9","6.1","9.0","1.7","0.4"
"Mon, Jul 25, 2022","13.3","8.5","10.9","17.8","0.6"
"Tue, Jul 26, 2022","18.2","10.9","14.6","3.3","0.5"
"Wed, Jul 27, 2022","20.3","5.7","13.0","0.0","1.1"
"Thu, Jul 28, 2022","19.9","4.6","12.2","0.1","1.1"
"Fri, Jul 29, 2022","17.6","3.9","10.7","0.0","1.8"
"Sat, Jul 30, 2022","17.8","5.9","11.8","1.2","1.3"
"Sun, Jul 31, 2022","14.4","-0.6","6.9","0.0","1.0"
"Mon, Aug 1, 2022","15.7","3.2","9.4","0.0","1.0"
"Tue, Aug 2, 2022","17.8","10.0","13.9","0.0","1.3"
"Wed, Aug 3, 2022","21.3","3.7","12.5","0.0","1.2"
"Thu, Aug 4, 2022","17.3","0.1","8.7","0.0","0.9"
"Fri, Aug 5, 2022","17.7","0.8","9.3","0.0","0.9"
"Sat, Aug 6, 2022","17.3","6.7","12.0","0.0","0.9"
"Sun, Aug 7, 2022","19.9","7.7","13.8","1.8","1.4"
"Mon, Aug 8, 2022","15.2","8.3","11.7","20.2","0.8"
"Tue, Aug 9, 2022","12.4","7.5","9.9","9.6","0.3"
"Wed, Aug 10, 2022","11.9","0.7","6.3","0.3","0.7"
"Thu, Aug 11, 2022","11.0","4.1","7.5","0.3","0.8"
"Fri, Aug 12, 2022","12.8","-0.3","6.2","0.0","1.0"
"Sat, Aug 13, 2022","13.6","-1.4","6.1","0.0","1.1"
"Sun, Aug 14, 2022","15.7","-0.2","7.8","0.0","1.1"
"Mon, Aug 15, 2022","13.9","2.2","8.1","0.0","0.9"
"Tue, Aug 16, 2022","17.0","7.6","12.3","1.4","1.3"
"Wed, Aug 17, 2022","16.1","13.3","14.7","6.6","0.6"
"Thu, Aug 18, 2022","20.6","14.6","17.6","0.0","0.4"
"Fri, Aug 19, 2022","20.7","15.1","17.9","2.3","0.7"
"Sat, Aug 20, 2022","22.4","10.1","16.2","0.0","2.5"
"Sun, Aug 21, 2022","22.9","8.6","15.7","0.0","2.0"
"Mon, Aug 22, 2022","20.8","8.8","14.8","10.9","1.1"
"Tue, Aug 23, 2022","17.9","3.7","10.8","0.0","1.1"
"Wed, Aug 24, 2022","17.6","5.4","11.5","0.0","1.7"
"Thu, Aug 25, 2022","15.5","7.0","11.3","11.0","0.8"
"Fri, Aug 26, 2022","18.5","10.3","14.4","22.1","1.0"
"Sat, Aug 27, 2022","14.1","8.7","11.4","0.3","0.7"
"Sun, Aug 28, 2022","14.4","8.0","11.2","3.4","1.1"
"Mon, Aug 29, 2022","13.0","5.2","9.1","2.2","0.8"
"Tue, Aug 30, 2022","15.1","1.2","8.1","0.0","1.1"
"Wed, Aug 31, 2022","15.6","4.2","9.9","0.0","1.5"
"Thu, Sep 1, 2022","18.5","5.6","12.0","0.0","1.5"
"Fri, Sep 2, 2022","20.4","4.7","12.5","0.0","1.9"
"Sat, Sep 3, 2022","17.4","8.7","13.0","0.1","1.7"
"Sun, Sep 4, 2022","18.6","9.9","14.2","0.1","2.9"
"Mon, Sep 5, 2022","11.2","3.2","7.2","35.5","0.1"
"Tue, Sep 6, 2022","11.5","-0.3","5.6","0.0","1.1"
"Wed, Sep 7, 2022","16.0","6.8","11.4","0.0","1.7"
"Thu, Sep 8, 2022","16.0","4.6","10.3","0.0","1.4"
"Fri, Sep 9, 2022","16.1","8.4","12.2","37.0","0.9"
"Sat, Sep 10, 2022","14.2","10.3","12.2","22.6","0.6"
"Sun, Sep 11, 2022","18.1","10.1","14.1","0.3","1.4"
"Mon, Sep 12, 2022","19.9","11.2","15.6","0.0","1.5"
"Tue, Sep 13, 2022","20.9","6.2","13.6","0.0","3.0"
"Wed, Sep 14, 2022","15.7","6.4","11.1","1.6","1.5"
"Thu, Sep 15, 2022","15.0","0.3","7.7","2.8","1.6"
"Fri, Sep 16, 2022","18.0","6.0","12.0","0.3","2.0"
"Sat, Sep 17, 2022","16.0","6.2","11.1","0.0","2.0"
"Sun, Sep 18, 2022","17.6","6.7","12.1","0.0","2.2"
"Mon, Sep 19, 2022","19.7","10.7","15.2","8.2","1.5"
"Tue, Sep 20, 2022","22.9","12.0","17.4","9.2","2.4"
"Wed, Sep 21, 2022","21.4","9.9","15.6","3.6","1.6"
"Thu, Sep 22, 2022","15.8","11.6","13.7","55.5","0.7"
"Fri, Sep 23, 2022","19.0","10.9","15.0","0.1","1.4"
"Sat, Sep 24, 2022","20.4","11.8","16.1","2.7","2.0"
"Sun, Sep 25, 2022","15.9","8.4","12.2","0.2","1.3"
"Mon, Sep 26, 2022","16.1","8.8","12.5","0.0","1.7"
"Tue, Sep 27, 2022","16.4","4.3","10.4","0.0","1.9"
"Wed, Sep 28, 2022","21.0","11.5","16.3","0.0","2.6"
