"site","year","base_temperature","growing_degrees","units","lat","lon"
"Auckland (Auckland)",2022,"10",2512.8,"degree Celsius",-37.00813,174.78873
"Auckland (Auckland)",2022,"5",4332.4000000000005,"degree Celsius",-37.00813,174.78873
"Blenheim (Marlborough)",2022,"10",1402.3,"degree Celsius",-41.52133,173.86439
"Blenheim (Marlborough)",2022,"5",3005.9,"degree Celsius",-41.52133,173.86439
"Christchurch (Canterbury)",2022,"10",1166.1,"degree Celsius",-43.493,172.537
"Christchurch (Canterbury)",2022,"5",2629.9,"degree Celsius",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2022,"10",1488.6000000000001,"degree Celsius",-40.21,176.109
"Dannevirke (Manawatū-Whanganui)",2022,"5",3148.2999999999997,"degree Celsius",-40.21,176.109
"Dunedin (Otago)",2022,"10",1016.4,"degree Celsius",-45.90129,170.5147
"Dunedin (Otago)",2022,"5",2578.6,"degree Celsius",-45.90129,170.5147
"Gisborne (Gisborne)",2022,"10",1949.4,"degree Celsius",-38.6586,177.9851
"Gisborne (Gisborne)",2022,"5",3735.2,"degree Celsius",-38.6586,177.9851
"Gore (Southland)",2022,"10",821,"degree Celsius",-46.115,168.887
"Gore (Southland)",2022,"5",2210.7,"degree Celsius",-46.115,168.887
"Hamilton (Waikato)",2022,"10",1904.4,"degree Celsius",-37.86088,175.33175
"Hamilton (Waikato)",2022,"5",3626.8,"degree Celsius",-37.86088,175.33175
"Hokitika (West Coast)",2022,"10",1352.7,"degree Celsius",-42.71228,170.98428
"Hokitika (West Coast)",2022,"5",3024.6,"degree Celsius",-42.71228,170.98428
"Invercargill (Southland)",2022,"10",808.1,"degree Celsius",-46.41741,168.33052
"Invercargill (Southland)",2022,"5",2202.1,"degree Celsius",-46.41741,168.33052
"Kerikeri (Northland)",2022,"10",2406.6,"degree Celsius",-35.183,173.926
"Kerikeri (Northland)",2022,"5",4228.7,"degree Celsius",-35.183,173.926
"Lake Tekapo (Canterbury)",2022,"10",677.3000000000001,"degree Celsius",-44.002,170.441
"Lake Tekapo (Canterbury)",2022,"5",1841.2,"degree Celsius",-44.002,170.441
"Masterton (Wellington)",2022,"10",1354.7,"degree Celsius",-40.957,175.707
"Masterton (Wellington)",2022,"5",2958.3,"degree Celsius",-40.957,175.707
"Milford Sound (Southland)",2022,"10",1020.0999999999999,"degree Celsius",-44.67384,167.92406
"Milford Sound (Southland)",2022,"5",2503.8,"degree Celsius",-44.67384,167.92406
"Napier (Hawke's Bay)",2022,"10",1984.3999999999999,"degree Celsius",-39.49846,176.91189
"Napier (Hawke's Bay)",2022,"5",3734.5,"degree Celsius",-39.49846,176.91189
"Nelson (Nelson)",2022,"10",1600.9,"degree Celsius",-41.299,173.226
"Nelson (Nelson)",2022,"5",3297.3,"degree Celsius",-41.299,173.226
"New Plymouth (Taranaki)",2022,"10",1880,"degree Celsius",-39.0079,174.18382
"New Plymouth (Taranaki)",2022,"5",3661.7,"degree Celsius",-39.0079,174.18382
"Queenstown (Otago)",2022,"10",884.8,"degree Celsius",-45.01758,168.74005
"Queenstown (Otago)",2022,"5",2165,"degree Celsius",-45.01758,168.74005
"Reefton (West Coast)",2022,"10",1393.5,"degree Celsius",-42.11578,171.86014
"Reefton (West Coast)",2022,"5",2933.2,"degree Celsius",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2022,"10",1495.2,"degree Celsius",-38.10595,176.31485
"Rotorua (Bay of Plenty)",2022,"5",3132.1,"degree Celsius",-38.10595,176.31485
"Tara Hills (Canterbury)",2022,"10",832.3,"degree Celsius",-44.52612,169.88948
"Tara Hills (Canterbury)",2022,"5",2022.7,"degree Celsius",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2022,"10",1592.7,"degree Celsius",-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)",2022,"5",3213.7,"degree Celsius",-38.88784,175.25981
"Taupō (Waikato)",2022,"10",1307.7,"degree Celsius",-38.74263,176.08104
"Taupō (Waikato)",2022,"5",2856.4,"degree Celsius",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2022,"10",2312.7,"degree Celsius",-37.673,176.196
"Tauranga (Bay of Plenty)",2022,"5",4124.1,"degree Celsius",-37.673,176.196
"Timaru (Canterbury)",2022,"10",858.7,"degree Celsius",-44.30517,171.22141
"Timaru (Canterbury)",2022,"5",2253.1,"degree Celsius",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2022,"10",780.7,"degree Celsius",-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)",2022,"5",2099.7,"degree Celsius",-39.46249,175.66283
"Wellington (Wellington)",2022,"10",1504.4,"degree Celsius",-41.285,174.768
"Wellington (Wellington)",2022,"5",3234.4,"degree Celsius",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2022,"10",1880.1,"degree Celsius",-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)",2022,"5",3648.1,"degree Celsius",-39.93704,175.04509
"Whangaparāoa (Auckland)",2022,"10",2591.3,"degree Celsius",-36.606,174.835
"Whangaparāoa (Auckland)",2022,"5",4415.8,"degree Celsius",-36.606,174.835
"Whangārei (Northland)",2022,"10",2563.6,"degree Celsius",-35.769,174.364
"Whangārei (Northland)",2022,"5",4386.3,"degree Celsius",-35.769,174.364
"Auckland (Auckland)",2021,"10",2366.5,"degree Celsius",-37.00813,174.78873
"Auckland (Auckland)",2021,"5",4175.4,"degree Celsius",-37.00813,174.78873
"Blenheim (Marlborough)",2021,"10",1425.1,"degree Celsius",-41.52133,173.86439
"Blenheim (Marlborough)",2021,"5",3029.5,"degree Celsius",-41.52133,173.86439
"Christchurch (Canterbury)",2021,"10",1212.3,"degree Celsius",-43.493,172.537
"Christchurch (Canterbury)",2021,"5",2696.6,"degree Celsius",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2021,"10",1491.9,"degree Celsius",-40.21,176.109
"Dannevirke (Manawatū-Whanganui)",2021,"5",3134.7,"degree Celsius",-40.21,176.109
"Dunedin (Otago)",2021,"10",1043,"degree Celsius",-45.90129,170.5147
"Dunedin (Otago)",2021,"5",2640.3,"degree Celsius",-45.90129,170.5147
"Gisborne (Gisborne)",2021,"10",1936.7,"degree Celsius",-38.6586,177.9851
"Gisborne (Gisborne)",2021,"5",3703.3,"degree Celsius",-38.6586,177.9851
"Gore (Southland)",2021,"10",770.1,"degree Celsius",-46.115,168.887
"Gore (Southland)",2021,"5",2160,"degree Celsius",-46.115,168.887
"Hamilton (Waikato)",2021,"10",1724.9,"degree Celsius",-37.86088,175.33175
"Hamilton (Waikato)",2021,"5",3416.8,"degree Celsius",-37.86088,175.33175
"Hokitika (West Coast)",2021,"10",1126.7,"degree Celsius",-42.71228,170.98428
"Hokitika (West Coast)",2021,"5",2799.8,"degree Celsius",-42.71228,170.98428
"Invercargill (Southland)",2021,"10",706.1,"degree Celsius",-46.41741,168.33052
"Invercargill (Southland)",2021,"5",2112.2,"degree Celsius",-46.41741,168.33052
"Kerikeri (Northland)",2021,"10",2233.4,"degree Celsius",-35.183,173.926
"Kerikeri (Northland)",2021,"5",4053.7,"degree Celsius",-35.183,173.926
"Lake Tekapo (Canterbury)",2021,"10",672.9,"degree Celsius",-44.002,170.441
"Lake Tekapo (Canterbury)",2021,"5",1822.6,"degree Celsius",-44.002,170.441
"Masterton (Wellington)",2021,"10",1387.9,"degree Celsius",-40.957,175.707
"Masterton (Wellington)",2021,"5",2967.7,"degree Celsius",-40.957,175.707
"Milford Sound (Southland)",2021,"10",876.6,"degree Celsius",-44.67384,167.92406
