PIN,Orchard,OrchardGroup,Date,PlantingCode,ProductionSite,ManagementArea,BusinessUnit,LandAreaHa,VarietyCode,Variety,Chemical,ActiveIngredient,ChemicalRate,ChemicalUnit,WaterRate,Reason,MonitorRef,TargetPrimary,TargetSecondary,Applicators,Sprayers,SprayCondition,SprayMethod,SurplusDisposal,ChemicalUsed,ChemicalCost,ChemicalPrice,StockUnit,ChemicalTags,#,Approved
R1936,Wharerangi,Crownthorpe Sector,17/01/2023,WHAR B2,B,B2,ROLP 1,0.71,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.3,11.655,38.85,L,Plant Growth Regulator,1966,TRUE
R2879,IND - Manzana,Independent Sector,18/01/2023,MANZ C3,C,C3,Manzana Orchard Limited Partnership,3.00174,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Marcel van der Linden,"CRN-SPR-012 Quantum Tower Sprayer, CRN-TRC-012 Open Cab Tractor",,Quantum Tower,,1.132647,44.003336,38.85,L,Plant Growth Regulator,1964,TRUE
R2150,Dartmoor,Independent Sector,17/01/2023,DTM A,A,A,ROLP 2,1.8627,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.940614,36.542854,38.85,L,Plant Growth Regulator,1965,TRUE
R2150,Dartmoor,Independent Sector,17/01/2023,DTM B,A,B,ROLP 2,0.51366,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.259385,10.077107,38.85,L,Plant Growth Regulator,1965,TRUE
R1936,Wharerangi,Crownthorpe Sector,17/01/2023,WHAR B1,B,B1,ROLP 1,0.71,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.3,11.655,38.85,L,Plant Growth Regulator,1966,TRUE
R2879,IND - Manzana,Independent Sector,18/01/2023,MANZ B1,B,B1,Manzana Orchard Limited Partnership,1.64052,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Marcel van der Linden,"CRN-SPR-012 Quantum Tower Sprayer, CRN-TRC-012 Open Cab Tractor",,Quantum Tower,,0.619017,24.04881,38.85,L,Plant Growth Regulator,1964,TRUE
R2879,IND - Manzana,Independent Sector,18/01/2023,MANZ B2,B,B2,Manzana Orchard Limited Partnership,2.26968,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Marcel van der Linden,"CRN-SPR-012 Quantum Tower Sprayer, CRN-TRC-012 Open Cab Tractor",,Quantum Tower,,0.856418,33.271839,38.85,L,Plant Growth Regulator,1964,TRUE
R2879,IND - Manzana,Independent Sector,18/01/2023,MANZ B3,B,B3,Manzana Orchard Limited Partnership,1.27722,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Marcel van der Linden,"CRN-SPR-012 Quantum Tower Sprayer, CRN-TRC-012 Open Cab Tractor",,Quantum Tower,,0.481933,18.723097,38.85,L,Plant Growth Regulator,1964,TRUE
R2879,IND - Manzana,Independent Sector,18/01/2023,MANZ C1,C,C1,Manzana Orchard Limited Partnership,2.01894,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Marcel van der Linden,"CRN-SPR-012 Quantum Tower Sprayer, CRN-TRC-012 Open Cab Tractor",,Quantum Tower,,0.761807,29.596202,38.85,L,Plant Growth Regulator,1964,TRUE
R2879,IND - Manzana,Independent Sector,18/01/2023,MANZ C2,C,C2,Manzana Orchard Limited Partnership,3.0429,996,Rockit,Ethin,chlorethephon,500,ml/Ha,1000,,,Thinning,,Marcel van der Linden,"CRN-SPR-012 Quantum Tower Sprayer, CRN-TRC-012 Open Cab Tractor",,Quantum Tower,,1.148177,44.606676,38.85,L,Plant Growth Regulator,1964,TRUE
