PIN,Orchard,OrchardGroup,Date,PlantingCode,ProductionSite,ManagementArea,BusinessUnit,LandAreaHa,VarietyCode,Variety,Chemical,ActiveIngredient,ChemicalRate,ChemicalUnit,WaterRate,Reason,MonitorRef,TargetPrimary,TargetSecondary,Applicators,Sprayers,SprayCondition,SprayMethod,SurplusDisposal,ChemicalUsed,ChemicalCost,ChemicalPrice,StockUnit,ChemicalTags,#,Approved
R2447,Watson Road,Hastings Sector,3/03/2023,RWR A1,A,A,Rockit Watson Road Partnership,1.18272,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",13.6,l/Ha,500,Recommended,,Plant Growth Regulators,,Jesse Nitschke,"N1 Cropliner, N1 Tractor",,Cropliner,,15.34386,1919.05657,125.07,L,Plant Growth Regulator,2231,TRUE
R2447,Watson Road,Hastings Sector,3/03/2023,RWR B1,B,B,Rockit Watson Road Partnership,1.66866,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",13.6,l/Ha,500,Recommended,,Plant Growth Regulators,,Jesse Nitschke,"N1 Cropliner, N1 Tractor",,Cropliner,,21.648137,2707.532495,125.07,L,Plant Growth Regulator,2231,TRUE
R2925,IND - Manzana 2,Independent Sector,21/02/2023,MANZ2 A,A,A,Manzana Orchard Limited Partnership,3.57504,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",14.3,l/Ha,500,Consultants advice,,Plant Growth Regulators,,Connor Riordan,"CRN-SPR-013 Cropliner Sprayer, CRN-TRC-013 Open Cab Tractor",,Cropliner,,47.861931,5986.09171,125.07,L,Plant Growth Regulator,2233,TRUE
R2925,IND - Manzana 2,Independent Sector,21/02/2023,MANZ2 B,B,B,Manzana Orchard Limited Partnership,3.95598,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",14.3,l/Ha,500,Consultants advice,,Plant Growth Regulators,,Connor Riordan,"CRN-SPR-013 Cropliner Sprayer, CRN-TRC-013 Open Cab Tractor",,Cropliner,,52.961881,6623.942457,125.07,L,Plant Growth Regulator,2233,TRUE
R2925,IND - Manzana 2,Independent Sector,21/02/2023,MANZ2 C,C,C,Manzana Orchard Limited Partnership,1.86858,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",14.3,l/Ha,500,Consultants advice,,Plant Growth Regulators,,Connor Riordan,"CRN-SPR-013 Cropliner Sprayer, CRN-TRC-013 Open Cab Tractor",,Cropliner,,25.016181,3128.773758,125.07,L,Plant Growth Regulator,2233,TRUE
R2776,Haumoana,Hastings Sector,9/03/2023,HAU A1,A,A,ROLP 2,1.87824,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",13.6,l/Ha,500,Recommended,,Plant Growth Regulators,,Jesse Nitschke,"N1 Cropliner, N1 Tractor",,Cropliner,,26.006974,3252.692238,125.07,L,Plant Growth Regulator,2236,TRUE
R2776,Haumoana,Hastings Sector,9/03/2023,HAU B1,B,B,ROLP 2,1.66866,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",13.6,l/Ha,500,Recommended,,Plant Growth Regulators,,Jesse Nitschke,"N1 Cropliner, N1 Tractor",,Cropliner,,23.105033,2889.746477,125.07,L,Plant Growth Regulator,2236,TRUE
R2776,Haumoana,Hastings Sector,9/03/2023,HAU A2,C,C,ROLP 2,2.5893,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",13.6,l/Ha,500,Recommended,,Plant Growth Regulators,,Jesse Nitschke,"N1 Cropliner, N1 Tractor",,Cropliner,,35.852637,4484.08931,125.07,L,Plant Growth Regulator,2236,TRUE
R2776,Haumoana,Hastings Sector,9/03/2023,HAU B2,D,D,ROLP 2,2.11428,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",13.6,l/Ha,500,Recommended,,Plant Growth Regulators,,Jesse Nitschke,"N1 Cropliner, N1 Tractor",,Cropliner,,29.275292,3661.46077,125.07,L,Plant Growth Regulator,2236,TRUE
R2636,IND - Moteo Pa,Independent Sector,13/03/2023,MOT A1,A,A1,Global Harvest Ltd,2.91312,996,Rockit,Harvista 1.3,"Magnesium sulfate, heptahydrate,alpha-Cyclodextrin,1-Methylcyclopropene",14.3,l/Ha,50,,,Plant Growth Regulators,,,,,Helicopter,,41.657616,5210.118033,125.07,L,Plant Growth Regulator,2244,TRUE
