Week from Biofix,Bridge Pa,Havelock,Napier,Omahu,Puketapu,Valley
4,0,0,0,0,0,0
5,0,0.36,0.05,0,0.07,0.2
6,0.09,0.08,0.05,0.06,0,0.04
7,0.09,0.04,0.05,0.11,0.04,0.16
8,0,0,0,0,0,0
9,0.18,0,0,0,0,0
10,0,0.08,0.05,0,0,0
11,0.09,0.4,0,0.06,0.04,0
12,0,0.04,0.05,0,0.04,0
13,0,0.04,0,0.17,0,0.04
14,0.18,0.12,0,0,0,0
15,0.3,0,0,0,0.04,0
16,0.2,0.04,0,0.11,0.04,0.04
17,0,0,0,0.06,0,0.04
18,0.1,0.04,0,0,0.04,0
19,0.2,0,0,0,0,0
20,0.3,0,0,0.07,0,0
21,0,0,0,0,0,0
22,0,0.04,0,0.14,0,0
23,0,0.04,0.05,0,0,0.08
24,0,0,0,0,0,0
