uniqueId,measuredParam,customId,parentId,region
61556c5e81bc4463c3a09158,Air Temperature,3F4D90_v4_temp1,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc4466cfa0915a,Leaf Wetness,3F4D90_v4_an,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc449051a0915c,Rain - Total,3F4D90_v4_raintotal,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc444993a0915e,Soil Moisture 10 cm,3F4D90_v4_soil1,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44e487a09161,Soil Moisture 20 cm,3F4D90_v4_soil2,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc441ac9a09166,Soil Moisture 30 cm,3F4D90_v4_soil3,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44d9b9a09168,Soil Moisture 60 cm,3F4D90_v4_soil6,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc4472eca0916a,Soil Moisture 70 cm,3F4D90_v4_soil7,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44029fa0916c,Soil Temperature 10 cm,3F4D90_v4_soiltemp1,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc442745a0916e,Soil Temperature 20 cm,3F4D90_v4_soiltemp2,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc442317a09170,Soil Moisture 80 cm,3F4D90_v4_soil8,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc446d55a09172,Soil Moisture 40 cm,3F4D90_v4_soil4,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc441e0da09174,Soil Temperature 60 cm,3F4D90_v4_soiltemp6,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc4488fea09176,Soil Temperature 50 cm,3F4D90_v4_soiltemp5,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc444c60a09178,Soil Moisture 50 cm,3F4D90_v4_soil5,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44bb45a0917a,Soil Temperature 40 cm,3F4D90_v4_soiltemp4,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc4426d8a0917c,Soil Temperature 30 cm,3F4D90_v4_soiltemp3,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44983ba0917e,Soil Temperature 80 cm,3F4D90_v4_soiltemp8,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44357ba09180,Soil Temperature 70 cm,3F4D90_v4_soiltemp7,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc442402a09182,Battery Volts,3F4D90_v4_bv,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44320ea09185,Richardson Chill Units,haumoana_rcu,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc445a72a0918a,GDD Base 10,haumoana_gdd_10,61556c5e81bc44151ea09099,HAU - Haumoana
61556c5e81bc44cb6fa0918c,Basic Chill Units,haumoana_bcu,61556c5e81bc44151ea09099,HAU - Haumoana
61556d7281bc444f55a1fdee,Air Temperature,3F820F_v4_temp1,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7281bc44ef89a1fdf0,Leaf Wetness,3F820F_v4_an,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7281bc4405fda1fdf2,Rain - Total,3F820F_v4_raintotal,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7281bc44638da1fdf4,Soil Moisture 10 cm,3F820F_v4_soil1,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7281bc447effa1fdf6,Soil Moisture 20 cm,3F820F_v4_soil2,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7281bc44dcaea1fdf8,Soil Moisture 30 cm,3F820F_v4_soil3,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7281bc443e04a1fdfb,Soil Moisture 60 cm,3F820F_v4_soil6,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7381bc44ecc3a1fe02,Soil Temperature 20 cm,3F820F_v4_soiltemp2,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7381bc444594a1fe06,Soil Moisture 40 cm,3F820F_v4_soil4,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7381bc4426eda1fe0b,Soil Temperature 50 cm,3F820F_v4_soiltemp5,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7281bc4420a8a1fdfe,Soil Moisture 70 cm,3F820F_v4_soil7,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7381bc440ba7a1fe00,Soil Temperature 10 cm,3F820F_v4_soiltemp1,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7381bc448613a1fe08,Soil Temperature 60 cm,3F820F_v4_soiltemp6,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7381bc445167a1fe04,Soil Moisture 80 cm,3F820F_v4_soil8,61556d7281bc441764a1fd20,LROL - Lawn Road
61556d7381bc44f599a1fe11,Soil Temperature 40 cm,3F820F_v4_soiltemp4,61556d7281bc441764a1fd20,LROL - Lawn Road
