BlockID,FarmID,BlockCode,BlockName,FarmCode,FarmName,plantingType,growingSystem
1,1,RA,RA,R2709,Benner Road,planted,3Dim
2,1,RB,RB,R2709,Benner Road,planted,3Dim
4,2,F,RVA-TR6,R1021,Riverside Apples,grafted,3Dim
6,2,L,RVA-TD1,R1021,Riverside Apples,planted,3Dim
8,2,S,RVA-TO1,R1021,Riverside Apples,planted,3Dim
9,2,T,RVA-TO2,R1021,Riverside Apples,planted,3Dim
10,3,B,HOME,R1751,Huawhenua - Home,grafted,3Dim
11,4,A,GLO-A,R2124,Global Orchard,grafted,3Dim
12,4,B,GLO-B,R2124,Global Orchard,grafted,3Dim
13,4,C,GLO-C,R2124,Global Orchard,grafted,3Dim
14,5,A,HME A,R1230,Home Block,planted,FOPS
15,5,B,HME B,R1230,Home Block,planted,FOPS
16,5,C,HME C,R1230,Home Block,planted,3Dim
17,5,D,HME D1-D3,R1230,Home Block,planted,3Dim
19,6,A,A1-A8,R1231,West Road,grafted,3Dim
20,6,B,B1-B5,R1231,West Road,grafted,3Dim
21,7,A,A1-A5,R1232,Raukawa,grafted,3Dim
22,7,B,B1-B4,R1232,Raukawa,grafted,3Dim
23,7,C,C1-C4,R1232,Raukawa,grafted,3Dim
24,8,A,A1-A2,R1233,Te Aute Road North ,grafted,3Dim
25,8,B,B1-B2,R1233,Te Aute Road North ,grafted,3Dim
26,9,A,A1-A2,R1936,Wharerangi Orchard,grafted,3Dim
27,9,B,B1-B2,R1936,Wharerangi Orchard,grafted,3Dim
28,10,A,SRS A,R2534,Stock Roads,planted,3Dim
29,10,B,SRS B,R2534,Stock Roads,planted,3Dim
30,10,C,SRS C,R2534,Stock Roads,planted,3Dim
31,10,D,SRS D,R2534,Stock Roads,planted,3Dim
32,11,A1,MOT A1,R2636,Moteo,grafted,3Dim
33,11,B,A2-B1-B2,R2636,Moteo,grafted,3Dim
34,12,a,A1-A2,R2666,Stock Road North,planted,3Dim
35,13,A,TRS A,R2668,Te Aute Road South,planted,3Dim
36,14,A,A1-A2,R2669,Stock Road Central,planted,3Dim
38,15,b,NRS B,R2712,Napier Road South,planted,3Dim
39,2,A,RVA-TR1,R1021,Riverside Apples,grafted,3Dim
41,17,A,OMAHU A,R2724,Omahu,planted,3Dim
42,17,C,OMAHU C,R2724,Omahu,planted,3Dim
48,16,1,MOA-OV1,R1626,Moa Apples,grafted,3Dim
49,18,A,Riverside ,R1752,Riverside Orchard,grafted,3Dim
51,16,2,MOA-YV2,R1626,Moa Apples,grafted,3Dim
52,16,3,MOA-OV3,R1626,Moa Apples,grafted,3Dim
53,16,4,MOA-NP4,R1626,Moa Apples,grafted,3Dim
54,16,5,OV,R1626,Moa Apples,grafted,3Dim
55,16,6,YV,R1626,Moa Apples,grafted,3Dim
56,16,7,OV,R1626,Moa Apples,grafted,3Dim
59,16,B,MOA-OVB,R1626,Moa Apples,grafted,3Dim
60,16,C ,NP,R1626,Moa Apples,grafted,3Dim
61,16,D,MOA-OVD,R1626,Moa Apples,grafted,3Dim
62,16,E,MOA-YVE,R1626,Moa Apples,grafted,3Dim
63,16,F,MOA-OVF,R1626,Moa Apples,grafted,3Dim
66,20,R,R,R2732,Sunvalley Orchard,planted,3Dim
68,16,A,MOA-NPA,R1626,Moa Apples,grafted,3Dim
69,17,B,OMAHU B,R2724,Omahu,planted,3Dim
70,17,D,OMAHU D,R2724,Omahu,planted,3Dim
71,17,F,OMAHU F,R2724,Omahu,planted,3Dim
